room_type,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,is_weekend,realsum_cut,longitude_disc_12_401_12_471,longitude_disc_12_471_12_499,longitude_disc_12_499_12_583,latitude_disc_12_401_12_471,latitude_disc_12_471_12_499,latitude_disc_12_499_12_583
1,1,2.0,0,1,0,10.0,95.0,1,2.7905676,0.6309938,12.48117,41.8813,1,152.19882,False,True,False,False,True,False
2,0,4.0,0,1,0,10.0,97.0,1,6.8553624,0.15216942,12.56058,41.85719,0,132.79405,False,False,True,False,False,True
2,0,4.0,0,0,1,9.0,96.0,1,3.7293994,0.13072263,12.459,41.91,0,207.6076,True,False,False,True,False,False
1,1,3.0,1,1,0,10.0,97.0,1,1.791962,0.8565601,12.50868,41.91627,1,209.71173,False,False,True,False,False,True
1,1,2.0,1,1,0,10.0,100.0,1,6.639546,0.21256904,12.5594,41.85906,1,99.12795,False,False,True,False,False,True
2,0,2.0,1,0,0,10.0,98.0,1,1.1657529,0.5812837,12.49943,41.89059,1,184.46216,False,False,True,False,False,True
1,1,4.0,0,0,1,10.0,94.0,1,2.1875403,0.86947113,12.47589,41.90065,1,439.062,False,True,False,False,True,False
2,0,4.0,0,1,0,9.0,95.0,1,2.9268177,1.2734859,12.467,41.9,0,205.03589,True,False,False,True,False,False
1,1,3.0,0,0,1,10.0,95.0,1,0.98223394,0.8524005,12.51337,41.89785,1,126.94924,False,False,True,False,False,True
1,1,2.0,0,0,1,10.0,95.0,1,3.2638311,1.2111853,12.463,41.899,1,139.34024,True,False,False,True,False,False
2,0,6.0,0,0,1,9.0,91.0,2,2.178323,0.83473396,12.476,41.901,1,346.71405,False,True,False,False,True,False
1,1,2.0,0,1,0,9.0,84.0,1,0.26460359,0.34122568,12.50153,41.89855,0,115.493416,False,False,True,False,False,True
2,0,4.0,0,0,1,8.0,80.0,1,2.5936732,1.562124,12.472,41.895,1,290.3701,False,True,False,False,True,False
2,0,5.0,0,0,0,9.0,94.0,3,3.0826848,1.9532719,12.46667,41.8929,0,265.1205,True,False,False,True,False,False
2,0,3.0,0,1,0,9.0,95.0,1,3.8516846,0.30166343,12.45649,41.90668,1,216.72551,True,False,False,True,False,False
2,0,2.0,1,0,1,8.0,100.0,1,4.245461,0.45074916,12.45283,41.91076,0,205.03589,True,False,False,True,False,False
